epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,vram_peak_alloc_gb,vram_peak_reserved_gb,cuda_util_pct,gpu_temp_c,cpu_pct,ram_used_gb
82,0.309547,0.995350,0.288455,0.999000,0.00003000,342.4,7.849,7.939,67,66,9.4,18.92
83,0.309450,0.995350,0.286228,0.999778,0.00002999,342.6,7.849,7.939,83,66,9.5,18.77
84,0.309549,0.995305,0.287040,0.999444,0.00002999,342.7,7.849,7.939,65,65,9.4,18.41
85,0.309175,0.995519,0.287050,0.999444,0.00002999,342.4,7.849,7.939,82,64,8.9,18.02
86,0.309014,0.995412,0.287983,0.999333,0.00002999,346.8,7.849,7.939,67,65,9.3,17.96
87,0.309167,0.995275,0.287240,0.999667,0.00002999,342.7,7.849,7.939,81,66,9.0,18.28
88,0.309110,0.995509,0.286482,0.999556,0.00002999,342.3,7.849,7.939,73,63,9.0,18.14
89,0.309101,0.995434,0.286883,0.999556,0.00002999,339.9,7.849,7.939,82,65,8.8,17.83
90,0.308455,0.995587,0.285482,0.999556,0.00002999,353.3,7.849,7.939,83,63,12.3,19.4
91,0.308539,0.995637,0.287938,0.999111,0.00002999,356.8,7.849,7.939,76,65,11.7,19.18
92,0.308081,0.995803,0.286524,0.999667,0.00002999,348.5,7.849,7.939,82,66,9.6,19.68
93,0.308389,0.995548,0.285987,0.999667,0.00002999,350.5,7.849,7.939,72,63,10.2,19.89
94,0.308443,0.995544,0.287084,0.999444,0.00002999,351.1,7.849,7.939,69,65,13.4,20.2
95,0.308186,0.995655,0.285802,0.999778,0.00002999,354.4,7.849,7.939,67,65,11.4,20.37
96,0.307787,0.995803,0.285577,0.999778,0.00002999,347.2,7.849,7.939,76,63,10.3,19.56
97,0.307877,0.995628,0.286618,0.999333,0.00002999,346.7,7.849,7.939,73,66,9.4,18.83
98,0.307796,0.995815,0.286525,0.999889,0.00002999,359.2,7.849,7.939,72,66,10.9,20.17
99,0.307411,0.995821,0.285858,0.999889,0.00002999,348.6,7.849,7.939,81,64,10.9,19.95
100,0.307402,0.995990,0.286445,0.999667,0.00002999,349.2,7.849,7.939,78,65,10.7,19.3
101,0.307714,0.995683,0.285688,0.999778,0.00002999,343.7,7.849,7.939,67,66,9.1,19.53
102,0.307027,0.995942,0.287466,0.999222,0.00002999,343.2,7.849,7.939,67,67,9.2,19.51
103,0.307070,0.996022,0.286228,0.999778,0.00002999,343.0,7.849,7.939,76,67,9.1,19.39
104,0.306939,0.996104,0.287093,0.999333,0.00002999,343.3,7.849,7.939,76,66,9.3,19.41
